volume,vw,open,close,high,low,timestamp,n
41957.0,117.0042,117.49,116.98,117.49,116.73,2025-08-01 15:35:00,543
75417.0,116.9004,116.73,117.2749,117.5,116.35,2025-08-01 15:36:00,834
30307.0,117.3693,117.31,117.46,117.7,117.0001,2025-08-01 15:37:00,453
43347.0,117.8351,117.325,118.035,118.1,117.325,2025-08-01 15:38:00,547
56276.0,118.0554,118.09,117.772,118.4,117.5,2025-08-01 15:39:00,642
20441.0,117.7143,117.9683,117.645,118.0,117.5,2025-08-01 15:40:00,468
31600.0,117.8941,117.645,117.9305,118.0,117.645,2025-08-01 15:41:00,582
41963.0,118.0085,118.0,117.82,118.2,117.7,2025-08-01 15:42:00,566
45534.0,118.013,117.81,118.0651,118.35,117.5,2025-08-01 15:43:00,581
35547.0,118.1032,118.045,117.8978,118.26,117.7162,2025-08-01 15:44:00,536
61763.0,118.3317,117.72,118.49,118.5,117.71,2025-08-01 15:45:00,825
50757.0,118.481,118.38,118.4623,118.62,118.241,2025-08-01 15:46:00,680
90953.0,118.8855,118.4814,119.07,119.3,118.35,2025-08-01 15:47:00,1184
90195.0,119.4224,119.0375,119.785,119.88,118.8,2025-08-01 15:48:00,1035
179583.0,120.3496,119.6905,120.81,120.9999,119.64,2025-08-01 15:49:00,1770
198310.0,119.9907,120.82,119.3256,121.0,119.0,2025-08-01 15:50:00,2122
87176.0,119.9882,119.4,119.9864,120.39,119.19,2025-08-01 15:51:00,1212
92712.0,119.9832,119.94,119.8682,120.44,119.525,2025-08-01 15:52:00,1154
154049.0,120.2009,119.825,120.44,120.74,119.75,2025-08-01 15:53:00,1569
110713.0,120.6495,120.43,120.59,121.0,120.19,2025-08-01 15:54:00,1290
133525.0,121.0765,120.3916,121.1343,121.5,120.3916,2025-08-01 15:55:00,1428
165442.0,121.6242,121.1614,121.975,122.0,120.96,2025-08-01 15:56:00,1679
206347.0,121.7479,121.9733,121.25,122.12,121.18,2025-08-01 15:57:00,1773
136811.0,121.5943,121.25,121.8,121.88,121.1516,2025-08-01 15:58:00,1447
195815.0,121.6093,121.75,121.8,121.88,121.08,2025-08-01 15:59:00,2264
28632.0,122.4218,121.76,122.99,122.99,121.6098,2025-08-01 16:00:00,561
24827.0,122.4801,122.7313,122.49,123.0,122.01,2025-08-01 16:01:00,508
25964.0,121.8126,122.44,121.35,122.49,121.2,2025-08-01 16:02:00,375
20790.0,120.8659,121.2,120.6,121.5,120.38,2025-08-01 16:03:00,293
11375.0,120.8002,120.56,121.2516,121.44,120.5,2025-08-01 16:04:00,211
17747.0,121.7591,121.3,121.6,122.2,121.3,2025-08-01 16:05:00,266
7874.0,121.4981,121.56,121.11,121.9399,121.01,2025-08-01 16:06:00,143
8147.0,121.3044,121.0,121.58,121.6,121.0,2025-08-01 16:07:00,149
3229.0,121.5346,121.51,121.65,121.68,121.28,2025-08-01 16:08:00,67
55126.0,122.6646,121.53,122.8,123.5,121.51,2025-08-01 16:09:00,650
26036.0,123.2162,122.858,123.49,123.5,122.83,2025-08-01 16:10:00,338
16651.0,123.2677,123.49,123.11,123.5,123.0,2025-08-01 16:11:00,256
73962.0,123.7427,123.3,124.47,124.5,123.063,2025-08-01 16:12:00,727
31821.0,124.4221,124.47,124.31,124.79,124.0,2025-08-01 16:13:00,578
33068.0,124.3443,124.17,124.69,124.8,123.81,2025-08-01 16:14:00,504
43878.0,124.8392,124.61,124.8,125.0,124.37,2025-08-01 16:15:00,512
74491.0,125.2806,124.79,125.8,126.1,124.6,2025-08-01 16:16:00,1076
32109.0,126.1081,125.7995,126.29,126.4882,125.57,2025-08-01 16:17:00,564
48189.0,125.6375,126.3,124.67,126.45,124.67,2025-08-01 16:18:00,620
26645.0,125.3689,124.85,125.2,125.91,124.66,2025-08-01 16:19:00,365
33517.0,125.0357,125.0101,125.06,125.49,124.61,2025-08-01 16:20:00,377
16321.0,125.379,125.2,125.7,125.78,125.01,2025-08-01 16:21:00,261
26606.0,125.225,125.55,125.0,125.88,124.65,2025-08-01 16:22:00,348
17386.0,124.8044,125.14,124.2001,125.33,124.2,2025-08-01 16:23:00,273
10940.0,124.4744,124.2,124.8,124.9986,124.09,2025-08-01 16:24:00,208
9042.0,124.4659,124.7,124.31,124.78,124.24,2025-08-01 16:25:00,126
26954.0,123.9909,124.38,123.98,124.38,123.61,2025-08-01 16:26:00,362
22319.0,123.4616,123.75,123.26,123.9295,123.17,2025-08-01 16:27:00,346
25334.0,123.2083,123.4,122.86,123.5,122.65,2025-08-01 16:28:00,368
22864.0,122.548,122.75,122.32,122.8,122.31,2025-08-01 16:29:00,282
20264.0,122.8391,122.43,123.24,123.5,122.4,2025-08-01 16:30:00,272
6244.0,122.9416,123.11,122.49,123.37,122.46,2025-08-01 16:31:00,165
11841.0,122.4178,122.6,122.56,122.6,122.12,2025-08-01 16:32:00,177
7171.0,122.7835,122.53,122.75,122.976,122.53,2025-08-01 16:33:00,128
9163.0,123.0187,122.88,123.1,123.33,122.8,2025-08-01 16:34:00,169
16324.0,123.6781,123.19,123.9,123.99,123.0,2025-08-01 16:35:00,250
6890.0,123.4695,123.75,123.275,123.75,123.275,2025-08-01 16:36:00,142
23176.0,123.9443,123.3,124.2,124.38,123.28,2025-08-01 16:37:00,321
14884.0,124.0026,124.2,124.1,124.3,123.85,2025-08-01 16:38:00,192
14247.0,124.303,123.91,124.5,124.5,123.9,2025-08-01 16:39:00,208
7064.0,124.4753,124.49,124.47,124.68,124.2548,2025-08-01 16:40:00,139
28885.0,124.5068,124.4,125.02,125.02,123.9,2025-08-01 16:41:00,395
