volume,vw,open,close,high,low,timestamp,n
123658.0,122.2793,122.28,122.47,122.65,122.0,2025-06-06 12:54:00,1639
297809.0,121.0046,122.43,119.5,122.65,119.2,2025-06-06 12:55:00,3409
180492.0,119.6107,119.31,120.825,120.9169,119.1,2025-06-06 12:56:00,2045
118971.0,120.6074,120.825,120.35,121.5182,120.0,2025-06-06 12:57:00,1454
186668.0,118.9916,120.35,118.16,120.5,117.89,2025-06-06 12:58:00,2118
136423.0,118.3238,118.15,118.28,119.0,117.8,2025-06-06 12:59:00,1545
127927.0,119.5057,118.3123,120.2505,120.5,118.2258,2025-06-06 13:00:00,1559
88870.0,119.9546,120.1275,119.5,120.7,119.4,2025-06-06 13:01:00,1281
91220.0,120.1575,119.895,120.075,120.6,119.4741,2025-06-06 13:02:00,1005
121948.0,120.9427,120.075,120.755,121.58,120.03,2025-06-06 13:03:00,1349
100288.0,120.556,120.735,120.459,121.33,120.0,2025-06-06 13:04:00,1279
86273.0,120.1527,120.28,120.878,120.88,119.65,2025-06-06 13:05:00,1048
266819.0,122.0319,120.78,121.94,123.0,120.68,2025-06-06 13:06:00,2463
120243.0,121.2355,122.0,120.56,122.0,120.43,2025-06-06 13:07:00,1241
112006.0,119.989,120.74,120.26,120.9119,119.39,2025-06-06 13:08:00,1515
45131.0,120.4333,120.18,120.0335,121.0,120.0,2025-06-06 13:09:00,717
78351.0,120.9664,120.13,121.28,121.499,120.13,2025-06-06 13:10:00,995
102737.0,120.3896,121.28,120.15,121.32,119.57,2025-06-06 13:11:00,1323
110456.0,119.3151,120.25,119.28,120.549,118.8,2025-06-06 13:12:00,1459
98642.0,119.309,119.33,119.8,120.0,118.8,2025-06-06 13:13:00,1055
56243.0,119.4674,119.5,119.0,120.0,118.88,2025-06-06 13:14:00,769
166981.0,118.0548,119.21,118.25,119.396,117.12,2025-06-06 13:15:00,1997
67557.0,118.1215,118.455,117.7,118.46,117.7,2025-06-06 13:16:00,948
99166.0,117.21,117.51,116.9,117.98,116.8,2025-06-06 13:17:00,1555
121715.0,117.1494,116.9,118.107,118.2,116.5,2025-06-06 13:18:00,1359
86726.0,118.7793,118.01,119.04,119.39,117.97,2025-06-06 13:19:00,1126
88604.0,119.1866,119.17,119.335,119.67,118.7601,2025-06-06 13:20:00,948
64064.0,118.8337,119.335,118.42,119.5,118.41,2025-06-06 13:21:00,811
105525.0,119.2223,118.5,119.5,119.88,118.16,2025-06-06 13:22:00,1069
62588.0,119.5702,119.85,119.4747,119.8799,119.2,2025-06-06 13:23:00,720
47187.0,119.0743,119.5,119.0999,119.5,118.5,2025-06-06 13:24:00,599
43647.0,119.2411,119.0197,119.24,119.5,118.7458,2025-06-06 13:25:00,621
81273.0,118.5266,119.052,118.71,119.15,118.15,2025-06-06 13:26:00,847
116499.0,119.6815,118.87,120.2699,120.27,118.87,2025-06-06 13:27:00,1225
118090.0,120.5701,119.99,120.7736,120.979,119.9401,2025-06-06 13:28:00,1191
105649.0,120.2721,120.9,120.3,120.9699,119.56,2025-06-06 13:29:00,1022
88103.0,120.8037,120.175,120.798,121.2,120.0,2025-06-06 13:30:00,1099
65613.0,120.1906,120.575,119.725,120.7,119.5,2025-06-06 13:31:00,773
50982.0,119.7548,119.73,119.395,120.3,119.29,2025-06-06 13:32:00,691
55716.0,119.415,119.4999,119.2,119.989,119.19,2025-06-06 13:33:00,623
56297.0,119.7135,119.2014,119.8325,120.0,119.2014,2025-06-06 13:34:00,672
54153.0,119.5846,119.85,119.5,120.04,119.05,2025-06-06 13:35:00,704
56099.0,119.9682,119.54,120.02,120.2999,119.3553,2025-06-06 13:36:00,554
66202.0,120.3516,120.145,120.31,120.8,119.55,2025-06-06 13:37:00,729
120906.0,121.0619,120.15,121.499,121.5,120.15,2025-06-06 13:38:00,1119
78136.0,121.3356,121.1783,121.4,121.709,121.0,2025-06-06 13:39:00,972
62383.0,120.9625,121.3466,121.0,121.5,120.5,2025-06-06 13:40:00,761
45889.0,120.6265,120.895,120.575,120.999,120.3101,2025-06-06 13:41:00,601
68232.0,120.0411,120.575,119.705,120.79,119.34,2025-06-06 13:42:00,896
97144.0,119.2375,119.8627,119.49,119.902,118.8,2025-06-06 13:43:00,1135
48179.0,119.8854,119.48,119.9181,120.28,119.4225,2025-06-06 13:44:00,594
50602.0,119.5778,119.903,119.645,120.0,119.4,2025-06-06 13:45:00,585
63349.0,119.797,119.61,119.66,120.24,119.4,2025-06-06 13:46:00,714
